Hotel Name,Review
Hampton Inn Chicago McCormick Place,"Very Good Excellent hotel location if you need McCormick convention center or Wintrust arena. The staff is excellent. An example of exceptional kindness and courtesy of the staff is Miss Ta'Quana. The only small complaint about this hotel is the poor offer for breakfast, at least by European standards. There is no salad at all, the selection of fruit is poor. The only small complaint about this hotel is the poor offer for breakfast, at least by European standards. There is no salad at all, the selection of fruit is poor."
Hampton Inn Chicago McCormick Place,"Perfect for events at McCormick Center - amazing staff Staff was amazing, breakfast was very good, bed comfortable, location super convenient for our convention, nearby restaurants were good. Pool was nice. Snack kiosk was out of stock/ out of order. Would have appreciated vending machines on the floors. Tapping key in elevator was awkward. Place scanner higher up and on both sides. Microwave in room would be a plus."
Hampton Inn Chicago McCormick Place,I experienced a couple hiccups but overall great hotel great location! Will stay again! The location was good! Their parking is only paid but doesn’t give that info on the site. Also I was not informed upon check-in that the rooms were only housekept every other day. Even after requesting my room to have housekeeping I came back and nothing had been done.
Hampton Inn Chicago McCormick Place,A good hotel for work Love the waffles at breakfast! Good location if you have to attend events at the McCormick Convention Center. Sometimes the shower water would take some time to heat up. But small thing.
Hampton Inn Chicago McCormick Place,Great room Location
Hampton Inn Chicago McCormick Place,"Good hotel if you are attending an event at the McCormick Center Convenient location. It is connected to the McCormick Convention Center, Chinatown for the food and close enough to Michigan Av. It also has a laundromat and breakfast spread was decent Could have provided more complimentary drinks and snacks daily for the price we paid for the rooms."
Embassy Suites Chicago - Downtown River North,"A reasonably price hotel that’s good for family stays. It was central, near shops and restaurants. The way the hotel was laid out was very unusual, like cruise ship cabins. I’ve had better breakfasts."
Embassy Suites Chicago - Downtown River North,Good Staff Cold
Embassy Suites Chicago - Downtown River North,"City break - Size of the room
- How close it was to everything
- How clean it was - Not a big issue but there was no safe in the room to store my valuables"
Embassy Suites Chicago - Downtown River North,I recommend the Embassy Suites Chicago downtown. Excellent hotel and very convenient. Breakfast was excellent including made to order omelets.
Embassy Suites Chicago - Downtown River North,Great spot Location Food
Embassy Suites Chicago - Downtown River North,Great! Breakfast was great! The pullout soda bed needs a better mattress
Embassy Suites Chicago - Downtown River North,Excellent value for money Rooms were generously proportioned. Bed very comfortable. Excellent location. House keeping for daily maintenance didn’t occur until late afternoon
Embassy Suites Chicago - Downtown River North,"Wonderful Location was great, staff were super helpful and friendly. And hotel was very clean Breakfast could be a little better with more options"
Embassy Suites Chicago - Downtown River North,"Great place to stay in central Chicago The room space was excellent - good segregation between area, and good space.

Staff throughout very friendly and helpful, particularly at breakfast - went out of their way to make sure we had everything we needed.

Location is good, close to most interesting areas. The snacks at the afternoon were a bit average, not particularly exciting. Slow drinks service too, often only one person on the bar at the start of the session - fine after the initial rush.

Fitness centre a bit tired, though good range of equipment."
Embassy Suites Chicago - Downtown River North,"For Bears game Very nice location. Close to a lot of restaurants. Easy access for Uber pick-up. Water pressure in the shower was low. At night, there is a lot of noise from the parking garage and alley."
Hampton Inn & Suites Chicago-Downtown,"Everything was fantastic! Super friendly helpful awesome staff!
At the front desk she heard me talking that we slept terrible on the train on the way in. Got us a rear room. Did not hear one siren at night and slept great. Beds and bedding were awesome, quiet AC/heat. QUIET rooms all around! I didn’t hear anyone in the hall, didn’t hear city street noise, I slept like a log! Great breakfast too! Open 6-10AM!! Amazing."
Hampton Inn & Suites Chicago-Downtown,The location was perfect and was walking distance to everything. Great location N/A
Hampton Inn & Suites Chicago-Downtown,It was acceptable. Breakfast was not very appealing and NOTHING like the photos they use. The bed was a bit hard. Not Close to downtown The bed was uncomfortable. Very hard. The wall paper was peeling from the bathroom wall at the bottom and the door looked like it had water damage. The breakfast wasn’t the best. The fruit was rotted.
Hampton Inn & Suites Chicago-Downtown,Wonderful Very comfy beds. We loved the breakfast and the pool. The location was great! It was noisy at night being as we faced the street.
Hampton Inn & Suites Chicago-Downtown,Wonderful Very nice staff and great location. Perfect for a weekend trip in the city.
Hampton Inn & Suites Chicago-Downtown,Wonderful We thought the hotel was good value based on location close to river and magnificent mile. We had a large family room/suite which suited our needs perfectly
Hampton Inn & Suites Chicago-Downtown,Excellent! Breakfast was great Nothing negative to say
Hampton Inn & Suites Chicago-Downtown,"Exceptional Spacious room, comfortable beds, very good breakfast, smooth check in / out procedure."
Hampton Inn & Suites Chicago-Downtown,It was great! Stuff very friendly Close to all our activities I loved everything!
Hampton Inn & Suites Chicago-Downtown,"It was a good stay, but could be better. Cleaning and Staff Deteriorated facilities—flush that was not flushing properly, chipped door.

Lacking appliances—no coffee
machine."
Hyatt Place Chicago/Downtown - The Loop,"Nice, but not my jam. The staff was delightful and answered all our questions. When my son went into the hotel with our bags one of the staff asked if he had accommodations with the hotel and asked him to produce a key. Then escorted him to the elevators. The breakfast, which I paid extra for, was very good. The eggs were especially delicious. There is no parking close by. You have to park in a garage on the next corner and pay to park there. There were items broken and missing from the room. We called to get extra blankets and a pillow for the pull out bed and they took an hour to get them to us."
Hyatt Place Chicago/Downtown - The Loop,Very Good The location Poor breakfast
Hyatt Place Chicago/Downtown - The Loop,Perfect That it’s clean and modern and new Nothing
Hyatt Place Chicago/Downtown - The Loop,Wonderful Well located and very friendly stuff. The staff serving the breakfast was not very nice.
Hyatt Place Chicago/Downtown - The Loop,Chicago weekend stay Very friendly and responsive staff. Clean and easy walk to most things. Comfortable bed and spacious room. There are not a lot of late night weekend food options in the area.
Hyatt Place Chicago/Downtown - The Loop,I had a good time It was good It was nothing wrong with it
Hyatt Place Chicago/Downtown - The Loop,"Good Good breakfast, comfortable beds Staff didn't seem to know where to park, pool was small"
Hyatt Place Chicago/Downtown - The Loop,Wonderful Complimentary breakfast for marathon runners. Asking for sheets and Coffee every day.
Hyatt Place Chicago/Downtown - The Loop,Wonderful Location was great and clean We had to pay for breakfast.
Hyatt Place Chicago/Downtown - The Loop,"Good confortable stay, but expensive It’s a very confortable room, clean and the staff very kind The price was way yo high for what it offered"
Homewood Suites By Hilton Chicago Downtown South Loop,"Great location, but unable to purchase something as simple as water was disappointing Location Unable to buy water for the entire stay"
Homewood Suites By Hilton Chicago Downtown South Loop,"Wonderful Good place in downtown Chicago, quiet.
Nice big room with kitchen and good lighting near the sink The breakfast was poor, lacking vegetables and cheese.
The bathtub only had control over the water temperature and not the flow rate."
Homewood Suites By Hilton Chicago Downtown South Loop,"Very pleasant stay with a beautiful view, close to the lake and park My recent stay at Homewood Suites by Hilton in the South Loop area of Chicago was very enjoyable. The hotel has a great location — close to downtown, the park, and the lakefront, where you can walk and enjoy views of the city.

The room was spacious, clean, and well-equipped. I got a room on the 17th floor with a beautiful city view, and in the morning I could see the sunrise over Lake Michigan — truly memorable!

The staff was friendly and helpful. Special thanks to the young woman who checked me in late on August 18 — she was very kind, cheerful, and welcoming.

The pool is small, but warm and perfect for relaxing after a long day. The breakfast was very basic, just the minimum and not very healthy! Personally, it was enough for a quick snack, but it felt more like a 2-star hotel breakfast in Europe, not what I’d expect from Hilton. There were no vegetables at all, and the only fruits available were apples and sometimes bananas. The most disappointing part was the use of plastic plates and cutlery. While other countries are fighting plastic waste and have already banned plastic straws, here, during one breakfast, the staff took out several bags of plastic tableware! It was such a terrible sight!

Additionally, I was charged a $525 deposit (for 7 nights), even though Booking.com listed it as €75 for the entire stay. However, the money was returned to my card quickly.

The mattress was full of lumps. There was no proper blanket, just a few thin sheets. The air conditioner was very noisy and hard to figure out how it works. When I turned it off, it would turn back on by itself.

These were just some of my observations, but overall, the room was good. I had a pleasant stay."
Homewood Suites By Hilton Chicago Downtown South Loop,Loved the view from my room better service would have been nice when needing more towels and too Location and the view of Lake Michigan Front desk could have been more helpful and they should clean the washers out because they were filthy. Would be nice to have more ways to buy water or something to drink .
Homewood Suites By Hilton Chicago Downtown South Loop,"Wonderful Location, cleanliness and pool and breakfast. I stay here often, when I come we never seem to be able to get a late check out. I can only guess it's because of the season. They have a nice location and staff is friendly."
Homewood Suites By Hilton Chicago Downtown South Loop,Wonderful Very good hotel near many attractions
Homewood Suites By Hilton Chicago Downtown South Loop,We had a great stay The room was great It was a bit smelly on the first floor
Homewood Suites By Hilton Chicago Downtown South Loop,"Great experience for the whole family Liked the location.
Breakfast was great Coffee machine didn't work."
Homewood Suites By Hilton Chicago Downtown South Loop,Wonderful It was clean The lack of snacks
Homewood Suites By Hilton Chicago Downtown South Loop,Wonderful The room and location was great The pool was freezing cold
HI Chicago Hostel,"Perfection Everything literally everything
From the rooms to the second floor hang out kitchen area
The staff the people everything Nothing it was excellent"
HI Chicago Hostel,Exceptional Nice mattress and nice towels and linen. It would be helpful to have a small shelf by the socket.
HI Chicago Hostel,I missed Chicago Great place to stay while in Windy City Everything was fine. Than you!
HI Chicago Hostel,Exceptional I liked this place
HI Chicago Hostel,"Good Everything is amazing: location, price, toilets, they even offered two pillows! Have your locker for the safety box. They offer free walking tours Except check in time. It is way too late - 4pm. And no, room was not ready earlier. Maybe half an hour earlier yes. That’s really not good, there were many ppl waiting there in the morning. But you can store your luggage, of course."
HI Chicago Hostel,Perfect place to stay for the Thanksgiving parade! Love this hostel. Perfect accommodation for daughter and i. Close to sights.
HI Chicago Hostel,"Great location, good amenities Great location and fun atmosphere! It can be a little loud with the train but nothing crazy."
HI Chicago Hostel,Awesome!! Like terminator said I’ll be back !! I like ping pong table and pool table and open kitchen concept but pool table sticks where broken I like it a lot Cafecito place next to you and may be 24hours it’ll be great ! Because we’re tourists we were out all day and we go to sleep you need breakfast and dinner but in night time there is no place closer to eat I hope this help to improve your place perhaps a play station next to tv or movie nights Pool sticks where broken and ball 14 was missing in one of pool tables
HI Chicago Hostel,Exceptional Location was perfect and cost of living was within the budget. Washrooms needs a bit cleaning otherwise everything was perfect there.
HI Chicago Hostel,One of best stay and with good pricing Location was perfect. Very close to the Lake area and subway as well. Nothing.
Travelodge by Wyndham Downtown Chicago,Very useful The location No mini bar and safe
Travelodge by Wyndham Downtown Chicago,Very Good Great location Aged building
Travelodge by Wyndham Downtown Chicago,"Very Good The room was huge and the beds were very comfortable. I would stay again. It would have been nice to have some basic dishes in the room, even though cooking isn’t allowed, with a microwave it’s necessary to have at least a plate, a knife, and a fork."
Travelodge by Wyndham Downtown Chicago,Very Good Superb location. Near Grand Park. Safe. Value for money.
Travelodge by Wyndham Downtown Chicago,"Reasonable price for a good stay. Would book again! I loved the location! It was so close by to all the main attractions. Also, the room they gave us was really big. Overall, it was a very nice and comfortable stay!"
Travelodge by Wyndham Downtown Chicago,It was a great and comfortable stay It was neat clean with cooperative and professional staff.Good value for money too None
Travelodge by Wyndham Downtown Chicago,"overall for the price that you pay it’s worth the money and it could be hard to find someting similar with reasonable pr Location is perfect, close to city center, subway, shops and restaurants. Around the building lots of parking lots with different pricing, never had a problem with finding a spot. As other reviewers stated this hotel facilities are quite old and used, but it didn’t bothered us that much everything was functional and working, the staff was very attentive and helpful but could be a little bit more nice."
Travelodge by Wyndham Downtown Chicago,Good overall Nice and comfortable The room didn’t have a city view as shown in pictures
Travelodge by Wyndham Downtown Chicago,"Pleasant Easy in and out of city. We were on the 12th floor, had this loud sound that came thru the walls like a machine was running, extremely loud and unbearable at times. Other than that great spot."
Travelodge by Wyndham Downtown Chicago,Very Good Location Crowd space
Congress Plaza Hotel Chicago,The staff was very nice and made you feel at home. Everyone greeted us entering and exiting the building. They even ask It is in a good location. Close to things we were doing I would have liked to have a better view outside. The room was stuffy and we had to kept the fan on all the time
Congress Plaza Hotel Chicago,"It’s good value in a fantastic location! The rooms, but specially the bathrooms can use a full Reno. Front desk staff la Great location! Historic lobby. Very nice gentleman at luggage storage. Bathrooms need a major Reno! Old fixtures; chipped tiles; poor water pressure."
Congress Plaza Hotel Chicago,Great for a quick overnight stay! Easy access to everything! Rock hard bed that was basically like sleeping on the floor!
Congress Plaza Hotel Chicago,"Hotel older, in need. Location close to our concert at the Auditorium Theatre. Restaurants within walking distance. TV in room was small and did not have hdtv. Hard to watch. Shower pressure was a little weak."
Congress Plaza Hotel Chicago,I tried for a voucher due the hot water not working.The hot water went out while in the shower around 8am. Went downstai The staff was nice The outlet locations. The outdated tub.
Congress Plaza Hotel Chicago,Polite service in a hotel needing upgrades The hotel is conveniently located across the street from the marathon finish line. We couldn’t get reservations for race day unfortunately. The plumbing was bad-toilet kept running. The shower ran cold. The room was cold. They do provide extra blankets and a space heater upon request.
Congress Plaza Hotel Chicago,Very Good It was convenient to everywhere I needed to go
Congress Plaza Hotel Chicago,"Historical hotel with beautiful architecture Gorgeous property and the hotel bar had amazing staff - didn’t use any other amenities. 10 minute walk to cloud gate - great location! The AC in the rooms is very outdated, was extremely hot during the day but luckily it cooled down enough at night to sleep comfortably"
Congress Plaza Hotel Chicago,"Great room in a perfect location, was ideal for my needs as a lone marathoner Perfect location for the marathon and exploring Chicago Very large and impersonal, didn’t feel it was very friendly, unlike my experiences elsewhere in Chicago"
Congress Plaza Hotel Chicago,Excellent city centre location old world charm Location Bathroom old & outdated - sink was blocking after every use !
The Study at the University of Chicago,"I needed an accommodation during my husband’s surgery and hospital stay after that. The Study is only a ten minute walk The convenient location from the hospital. The area was patrolled and watched by the security guards and police cars. I felt pretty safe to walk back to my hotel even after dark.
Morning tea and coffee at the lobby was comforting on the cold winter morning. Nothing"
The Study at the University of Chicago,"I needed an accommodation during my husband’s hospital stay. It is only10 minutes walk from the hospital. The hotel gave Clean, friendly and conveniently located. The interior is very stylish and comfortable. The lobby has a n air of spacious library where you can spend hours reading and writing."
The Study at the University of Chicago,"Very Good Very clean, attention to detail in decor, comfortable rooms Parking"
The Study at the University of Chicago,"New and clean hotel right on campus at UChicago. Value for money. Location, right on campus. Clean and new. I did not like the bedding. Would be happier if a down comforter is provided."
The Study at the University of Chicago,"Overall good stay if you’re planning to be around the U of Chicago area. The hotel is next to Harris Policy School and i It was very pretty and modern We had to change rooms because the thermostat wasnt working and the new room had a super noisy ac. There was this guy, Rudy from maintenance, 10/10. Super kind and helpful. There was also a woman from the service desk that helped us switch rooms, she was also great. The other men at the reception weren’t helpful nor kind, they kind of seemed to ignore guests."
The Study at the University of Chicago,"Perfect location for visiting UChicago The restaurant on site was very good. The leather chair and ottoman were so lovely to have in the room and made the stay very comfortable. The room was well appointed, comfy bed, love the views and desk by the window. There was nothing I didn’t like."
The Study at the University of Chicago,Wonderful At the heart of UChicago and very convenient to visit my student.
The Study at the University of Chicago,Beautiful stay. The Study is clean. The rooms are comfortable. The staff is very pleasant and accommodating . Can’t think of anything for this category.
The Study at the University of Chicago,Exceptional Everything Could be strength machines in exercise room
The Study at the University of Chicago,Wonderful Great and super friendly staff.
The Emily Hotel,"Great hotel in Chicago Nice, clean and in a very good neighbourhood
Rooms are spacious and overall very comfortable. M&G products in the shower are a great touch! Rather pricey and none of the bars/restaurants were available due to numerous private events. Sort of defeats the purpose of hotel bar/restaurant"
The Emily Hotel,"Exceptional It is very close to the L trains, and the staff on Thursday evening warmly welcomed me. The interior of the hotel is probably one of the best among the boutique hotels in town! The room was very clean and comfortable, and there was a very cute little radio in the room."
The Emily Hotel,"Great hotel definitely stay again Great staff, excellent location Nothing"
The Emily Hotel,Great stay of you wish to be in a place where there are great restaurants! Great location Was noisy on Friday night plus AC was loud
The Emily Hotel,Exceptional Location 
The Emily Hotel,"Convenient location and nice rooms. The rooms were beautiful, bathrooms were accessible and good water pressure in the shower. Very convenient location to the venue where we were attending a concert. Walkable area with a CVS, McDonalds, Train station, and Duncan Donuts nearby. The valet and staff were fantastic. The 2 rooms I booked together were on different floors, there was no free breakfast which I have grown accustomed to at other hotels. 80 a night for parking is a bit steep as well. I also didn't like the abundance of alcohol left in the mini bar. I was traveling with 20 year-olds who didn't need to be around that."
The Emily Hotel,Wonderful Located in a great neighborhood across the street from Google. Small coffee shop with limited menu and seating is the only breakfast option in the hotel.
The Emily Hotel,"Great place to stay! Stayed in several places on our trip and this was by far the best. Great location, lovely room and great staff The fierce aircon in the public areas"
The Emily Hotel,"Great hotel in the West Loop, a little out of the way for daytime tourist stuff The hotel is in a fun area where people come to go out to dinner. We went to the movies on the roof at night. Very fun! Big lobby and a coffee place at hotel. Liked the room a lot. I read other reviews that the rooms were basic but ours had soft carpet and a big bathroom and a king bed. Was great. It’s out of the way for touristy stuff. I don’t like to stay right in the tourist or downtown area but this was prob a little too far. The hotel seems like is where tech companies and twentysomethings live. It’s nice to see and come have dinner but no need to hang out there for longer than a day. I felt like I had to go out and stay out all day and only come home at the end of the day."
The Emily Hotel,Exceptional We loved the modern minimalist vibe of the decor. The service and amenities of the hotel were excellent! Enjoyed the rooftop movie night on the hotel roof. (Definitely check it out if you are there in the summer). The location is great for restaurants and touring downtown sites. Highly recommend! Everything was excellent.
citizenM Chicago Downtown,"Exceptional As always CitizenM are superb. You could not ask for a better location. I had a king room with a view and the views were stunning, the majority of nights we stayed in and just watched the world go by. Staff were really lovely. This will be the 3rd CitizenM we've stayed in and it will continue to be our go to hotel because of its friendly atmosphere and amazing amenities. Nothing"
citizenM Chicago Downtown,Good location Friendly Digital check in Small occupancy
citizenM Chicago Downtown,"Fun and cozy refuge in the heart of Chicago Staff kind, common spaces functional and fun, nice view, well-thought room, functional, clean. Loved the tablet to control everything. The room was a bit too small."
citizenM Chicago Downtown,"Wonderful comfortable room & cozy lounge, downtown Chicago"
citizenM Chicago Downtown,Nice This is the 3rd time staying here good Wending machine for coffee free of cost for room mates good especially winter can be kept in restaurant
citizenM Chicago Downtown,I felt very safe and comfortable. There was always someone around to assist me The art of as so beautiful! Absolutely nothing. It was amazing
citizenM Chicago Downtown,"I loved the hotel! 10/10 stay! If I traveled to Chicago again this would be my stay again! The property was beautiful! The area and views were beautiful! The room was modern with great amenities and technology. Comfy, cozy and clean! If you have a vehicle parking is a bit far. The shower in the room didn’t have great temperature."
citizenM Chicago Downtown,"I’ll be back. Fun, funky vibe. Very clean. Great location. A couple of staff members were kind of rude but the other friendly and helpful staff members completely made up for that. The tiny rooms without coffee makers aren’t for everyone but suited me fine."
citizenM Chicago Downtown,It was very good The location and the hotel in general I think the bed can be more comfortable
citizenM Chicago Downtown,Wonderful Great location comfy lounge friendly staff Asked for room cleaning and never done. Overall great experience.
Hyatt Regency McCormick Place Chicago,"All in all a positive experience, the new renovation may make the experience better next time and would stay here again. The close proximity to soldier field. Easy to get to and from interstate. The room we stayed in had a beautiful city and lake view. However we were told the rooms were being renovated. Which were in need of upgrades. Furniture was a bit tired and the bathrooms needed some paint maintenance etc. beds were comfortable as were the pillows. The cost was too high for the quality of the room we stayed in."
Hyatt Regency McCormick Place Chicago,Very Good Great bed and linens! Super location for conference. Our room was two rooms over from the elevator and we could hear the elevator all night.
Hyatt Regency McCormick Place Chicago,Wonderful how close it was to food and entertainment
Hyatt Regency McCormick Place Chicago,Wonderful Very nice and clean Parking
Hyatt Regency McCormick Place Chicago,Only a short stay to ate4nd a concert at Soldier Field. Clean and comfortable room. 
Hyatt Regency McCormick Place Chicago,"Location ...Location....Location Check in and parking was a nightmare.
Parking garage was very confusing Parking"
Hyatt Regency McCormick Place Chicago,"Meals poor Location to activities we wanted to see. Price was good. Space was excellent. Beds comfortable. Six &Eight restaurant food was horrible! Flavor was off. Noodles not done, crunchy. Rice crunchy."
Hyatt Regency McCormick Place Chicago,"Overall it was a pleasant stay The hotel was very clean and comfortable. It had good food and coffee options. They were very busy, but check in was still quick & the elevators were fast and we didn’t have to wait for them. It was walking distance to soldier field which was great. The beds & pillows were very comfortable. A few things…
The place was huge and hard to navigate and had little signage or staff to assist. Initially I was told that parking fees vary due to the option that we pick. Because the main lot was full, we were directed to a 2nd lot that seemed far away so we expected that we were getting the least expensive lot but yet it still cost us the same $40 as the attached parking. Upon leaving, we were told that the parking fee is $40 regardless of which lot we were in, so why was I told differently before I checked in? Had we known that up front, we would have saved the aggravation & just spent the extra $20 for vallet.
Check out- I wasn’t given a thank you, “how was your stay?” Or any of the normal questions you’d expect.
We upgraded our room to a city view but aside from a small portion of the lake, the only view that we had was of the roof below us. The worst part of our stay was coming back from the concert. They rope off all of their lobby seating and every single option to get a drink (we were only looking for water) or a snack was fully closed and apparently they do dot even have vending machines to grab a coke or a water. There was a mean “bouncer like” person directing everyone to the elevators and just kept saying that everything is closed."
Hyatt Regency McCormick Place Chicago,"Overall, the stay was excellent. Tony checked me in and from there, everything was great! view, quiet, clean The line for coffee/breakfast was too long for hours during the volleyball tournament.
A separate line to pay for the grab & go food would have been great. I just wanted a yogurt and sandwich from the frig, but had to stand in line for 20 minutes to pay for it."
Hyatt Regency McCormick Place Chicago,Had a great time with my daughter and granddaughter Proximity to venue All good
La Quinta by Wyndham Chicago Downtown,Very Good The location was perfect for attending a Broadway musical and walk to the other places we visited. The staff was friendly and courteous. I was unhappy that as a paying guest we were charged per bag to hold our bags. I have never experienced this during my stay at other hotel chains.
La Quinta by Wyndham Chicago Downtown,"Rugby union weekend, needed a bar for gatherings Location No bar"
La Quinta by Wyndham Chicago Downtown,"Enjoyed La Quinta in downtown Chicago. Great location, good value"
La Quinta by Wyndham Chicago Downtown,"Wonderful Breakfast buffet was wonerful, great front desk staff."
La Quinta by Wyndham Chicago Downtown,"A comfortable, affordable place to stay in downtown Chicago. The room was large and welcoming. The bed was very comfortable and bathroom worked well. Nothing."
La Quinta by Wyndham Chicago Downtown,Location was convenient and room was nice but the cost makes it prohibitive The breakfast was good. Staff was friendly. Rooms were nice. The cost was way too high. Almost $400 for one night.
La Quinta by Wyndham Chicago Downtown,Great staff and location The staff was accommodating and kind. They allowed us to keep our bags there for a small fee and let us rest our feet in the lobby even after we checked out When we got there the keys weren’t working but they quickly rectified the situation
La Quinta by Wyndham Chicago Downtown,Wonderful Location Comfortable and friendly staff.
La Quinta by Wyndham Chicago Downtown,"Nice big rooms great location but disappointed about our thin not being traced. Location Unable to contact property on phone easily.
Left our toiletries behind but called right away after we left the hotel and the front desk and housekeeping did not return the items which included a sonicare toothbrush."
La Quinta by Wyndham Chicago Downtown,Wonderful The location was perfect The staff was pushy and rushed you at breakfast. We had an 84 year old in our party who can't eat or move as fast as they'd like.
Swissotel Chicago,"Such a beautiful experience! Amazing views , wonderful staff !!!
I will be back again ❤️ No complaints"
Swissotel Chicago,"Very Good Very nice hotel. Quiet, well managed, nicely appointed rooms. High quality The water tastes terrible. And the available boxed water cost $6 for a small bottle. That is ridiculous. Given how bad the water from the tap tastes, they should make some better tasting water available for free."
Swissotel Chicago,"Beautiful view and comfortable hotel! The Swissotel location is very convenient. The room has a beautiful view! It is also clean and quiet. The bed is comfortable, and the bathroom is clean with a nice bathtub. Towels are nice too. The gym is on the 43rd floor! It has an amazing view of downtown Chicago and Lake Michigan. The front desk receptionist, Rachel, is super helpful! Not much to complain about!"
Swissotel Chicago,"Nice views, room ok Nice views to the river, 18th floor A/C takes a while to turn off and on"
Swissotel Chicago,You will not regret Location Facilities Cleanliness Nothing
Swissotel Chicago,"Wonderful we upgraded to a higher room with a better view and that was worth the extra money, the room was close to the elevators and was a bit noisier than we would have like, the location was great, right next to the river and we had a view of navy pier room was upgraded but next to the elevators, and even though we paid for breakfast we were still charged a small amount for the breakfast"
Swissotel Chicago,Comfortable hotel with some amazing views Location a d views from the room More bussiness like environment and not holiday like
Swissotel Chicago,"Good value and location. Would recommend and plan future visits Nice views, nice gym with 43 floor views, great room, eco friendly hotel, 12:00 noon check out. No pool"
Swissotel Chicago,Exclusive place in the city center An exclusive place to stay just in the absolute center of Chicago. Nothing to complain. We just stayed one night. Didn't use any facilities. 20-25 minutes walk from train station taking you directly to the airport (not disatvantage - just information)
Swissotel Chicago,"Fantastic location and views. We got upgraded to a suite - which was absolutely fantastic. Huge amount of space, views across the river and the city, probbaly one of the nicest rooms I've ever stayed in.

Hotel elevator worked really well - often in these big hotels, there is a lot of slowness and standing around - not here, the call system was clever and worked really well.

Location was excellent, pretty close for us to walk to Grant Park for the Marathon. Also highly appreciated pasta party and early breakfast options. The breakfast part of the package was shambolic. I was told at one point ""you $35 complimentary breakfast is in that area"".
Staff seemed unable to articulate whether breakfast was free, whether it was credit based, or how much credit we had. Really odd for something so basic.

They were friendly and helpful and removed the charges, but seemed bizarrely hard to get a clear answer."
"Club Quarters Hotel Central Loop, Chicago","I would stay here again Location is great: steps to Chicago Board of Trade, Rookery building, Marquette Building, walking distant to pretty much everything in downtown. Close to subway, buses, food court. My room was so tucked away and quiet I could not hear a nip of neighbours. Wifi is great. Clean. You can pair up your own devices, but there is no streaming platforms available. It was Thanksgiving and I could see the rooms were available that very same day for much cheaper than I was paying, I wad sooo mad."
"Club Quarters Hotel Central Loop, Chicago",Very good Location was perfect . I went to Sting concert and spent only 15 minutes by foot Small room
"Club Quarters Hotel Central Loop, Chicago",Absolutely LOVE this hotel!!! Everything! Bed was super comfy! Nothing!
"Club Quarters Hotel Central Loop, Chicago",Great location Clean Need a small fridge
"Club Quarters Hotel Central Loop, Chicago",Great hotel would recommend to anyone This was a very good hotel brilliant location and ideal for my stay
"Club Quarters Hotel Central Loop, Chicago","Definitely would stay there again Cleanliness, location Elevators are too slow"
"Club Quarters Hotel Central Loop, Chicago","Great location and comfy bed Comfy bed, lots of space, nice little kitchenette"
